EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
351848647,SINAI TEMPLE CEMETERY ASSOCIATION INC,% DIANA KOHN,2800 FRANKLIN ST,MICHIGAN CITY,IN,46360-6140,0,13,3,1000,199204,1,0,900000000,1,1,202212,0,0,2,0,12,0,0,0,,
351848649,WABASH VALLEY COMMUNITY FOUNDATION INC,,200 S 8TH ST,TERRE HAUTE,IN,47807-3706,0,3,3,1000,199203,1,15,429000000,1,1,202209,9,8,1,0,9,77647460,22606519,13940800,T31Z,
351848884,DOWNTOWN GOSHEN INC,,234 S MAIN ST STE 4,GOSHEN,IN,46526-3711,0,3,3,1000,199209,1,15,559000000,1,1,202212,3,4,1,0,12,44051,203686,203686,R20Z,
351849120,INDIANA GOLF COURSE SUPERINTENDENTS ASSOCIATION INCORPORATED,% RICK ELLIS,PO BOX 26159,INDIANAPOLIS,IN,46226-0159,0,6,3,2000,199212,2,0,205000000,1,1,202212,0,0,2,0,12,0,0,0,,
351849150,QUALITY CONNECTION,,7200 MISSISSIPPI ST STE 200,MERRILLVILLE,IN,46410-3993,0,6,3,2000,199304,2,0,261403000,1,1,202212,6,5,1,0,12,1515927,521081,438533,,
351849434,INDIANA ORCHID SOCIETY INC,% VICTORIA METHEAUX,414 N DEQUINCY ST,INDIANAPOLIS,IN,46201-3708,0,3,3,2000,199207,1,16,233000000,1,1,202206,0,0,2,0,6,0,0,0,U52Z,
351849457,LHS 64 FOUNDATION INC,% PENNI WOODWARD,5784 W STATE ROAD 32,ANDERSON,IN,46011-8798,0,3,3,1000,199204,1,15,40000000,1,1,202212,0,0,2,0,12,0,0,0,B82Z,
351849487,GRAND GUARDIAN COUNCIL OF INDIANA 10JD EDUCATIONAL FOUNDATION INC,% BONITA RAMIREZ,2905 S SCOTT DR,YORKTOWN,IN,47396-1609,0,3,3,1200,199206,1,15,40000000,1,1,202303,0,0,2,0,3,0,0,0,T30Z,
351849488,DUNN AND ASSOCIATES EMPLOYEE BENEFIT TRUST,% PREMIUM BINDERY,PO BOX 2369,COLUMBUS,IN,47202-0000,0,9,3,1000,199307,2,0,265000000,2,1,202301,4,4,1,0,1,190892,170856,170856,,SAUNDERS CHARLES W TTEE
351849588,TOWN & COUNTRY YOUTH LEAGUES INC,,PO BOX 2,DELPHI,IN,46923-0002,4312,3,9,1200,200407,1,16,321000000,1,1,202212,0,0,2,0,12,0,0,0,N63,DELPHI YOUTH BASEBALL LEAGUE
